name,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h,actualized
Brno-Zvonařka,,12.2,,7.8,,0.0,3.7,2022-09-17 15:35:31.000000
Brno-Arboretum,,5.2,,3.3,50.7,6.1,2.5,2022-09-17 15:35:31.000000
Brno-Masná,,,,4.0,,8.5,3.0,2022-09-17 15:35:31.000000
Brno-Výstaviště,,14.9,,5.8,,9.1,3.1,2022-09-17 15:35:31.000000
Brno-Tuřany,5.9,5.4,,4.0,47.1,7.0,4.0,2022-09-17 15:35:31.000000
Brno-Lány,6.4,7.1,272.0,5.1,42.9,8.7,3.8,2022-09-17 15:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 15:35:31.000000
Brno-Úvoz (hot spot),,19.1,278.0,6.0,,7.7,3.0,2022-09-17 15:35:31.000000
Brno-Líšeň,,,,4.0,,8.0,3.0,2022-09-17 15:35:31.000000
Brno-Svatoplukova,,12.4,131.0,6.1,,9.6,3.8,2022-09-17 15:35:31.000000
Brno-Tuřany,,,,5.0,46.1,7.0,3.0,2022-09-17 16:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 16:35:31.000000
Brno-Líšeň,,,,3.0,,7.7,1.0,2022-09-17 16:35:31.000000
Brno-Masná,,,,5.0,,8.5,3.0,2022-09-17 16:35:31.000000
Brno-Lány,5.6,6.7,291.0,5.2,43.1,8.6,4.2,2022-09-17 16:35:31.000000
Brno-Úvoz (hot spot),,23.1,275.0,7.0,,7.6,4.0,2022-09-17 16:35:31.000000
Brno-Arboretum,,5.0,,4.9,47.5,6.0,3.6,2022-09-17 16:35:31.000000
Brno-Svatoplukova,,13.8,131.0,10.9,,9.7,8.7,2022-09-17 16:35:31.000000
Brno-Výstaviště,,16.5,,6.2,,9.0,3.6,2022-09-17 16:35:31.000000
Brno-Zvonařka,,9.8,,10.9,,0.0,4.5,2022-09-17 16:35:31.000000
Brno-Lány,5.6,6.9,272.0,4.4,49.1,8.4,3.4,2022-09-17 17:35:30.000000
Brno-Zvonařka,,15.7,,6.4,,10.7,3.7,2022-09-17 17:35:30.000000
Brno-Svatoplukova,,,133.0,,,9.6,0.0,2022-09-17 17:35:30.000000
Brno-Arboretum,,7.3,,5.5,47.5,6.0,3.5,2022-09-17 17:35:30.000000
Brno-Tuřany,6.1,6.5,,6.0,41.3,7.1,2.0,2022-09-17 17:35:30.000000
Brno-Úvoz (hot spot),,24.1,273.0,6.0,,7.5,4.0,2022-09-17 17:35:30.000000
Brno-Výstaviště,,18.2,,7.1,,8.8,3.6,2022-09-17 17:35:30.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 17:35:30.000000
Brno-Masná,,,,6.0,,8.4,3.0,2022-09-17 17:35:30.000000
Brno-Líšeň,,,,3.0,,7.6,1.0,2022-09-17 17:35:30.000000
Brno-Arboretum,,,,,,6.0,0.0,2022-09-17 18:35:31.000000
Brno-Výstaviště,,24.3,,10.4,,8.6,3.6,2022-09-17 18:35:31.000000
Brno-Svatoplukova,,27.0,150.0,9.3,,9.4,7.9,2022-09-17 18:35:31.000000
Brno-Líšeň,,,,3.0,,7.5,4.0,2022-09-17 18:35:31.000000
Brno-Lány,5.3,17.0,272.0,6.2,38.5,8.1,4.6,2022-09-17 18:35:31.000000
Brno-Tuřany,5.6,9.8,,4.0,47.7,7.1,2.0,2022-09-17 18:35:31.000000
Brno-Úvoz (hot spot),,35.2,278.0,4.0,,7.2,2.0,2022-09-17 18:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 18:35:31.000000
Brno-Masná,,,,3.0,,8.2,2.0,2022-09-17 18:35:31.000000
Brno-Zvonařka,,12.1,,2.9,,10.1,2.4,2022-09-17 18:35:31.000000
Brno-Výstaviště,,12.8,,6.6,,8.0,3.7,2022-09-17 19:35:31.000000
Brno-Tuřany,6.1,8.4,,2.0,45.5,6.9,1.0,2022-09-17 19:35:31.000000
Brno-Lány,5.6,5.7,250.0,4.1,50.9,7.3,3.5,2022-09-17 19:35:31.000000
Brno-Svatoplukova,,22.4,194.0,16.5,,9.6,15.2,2022-09-17 19:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 19:35:31.000000
Brno-Zvonařka,,9.2,,4.6,,9.1,4.1,2022-09-17 19:35:31.000000
Brno-Masná,,,,5.0,,7.8,3.0,2022-09-17 19:35:31.000000
Brno-Arboretum,,,,,,5.7,0.0,2022-09-17 19:35:31.000000
Brno-Líšeň,,,,5.0,,7.5,4.0,2022-09-17 19:35:31.000000
Brno-Úvoz (hot spot),,23.9,288.0,5.0,,6.8,3.0,2022-09-17 19:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 20:35:30.000000
Brno-Lány,5.3,4.8,248.0,3.8,53.1,7.0,3.2,2022-09-17 20:35:30.000000
Brno-Zvonařka,,5.4,,4.3,,8.8,3.7,2022-09-17 20:35:30.000000
Brno-Výstaviště,,8.8,,4.7,,7.7,2.6,2022-09-17 20:35:30.000000
Brno-Úvoz (hot spot),,23.5,286.0,5.0,,6.7,4.0,2022-09-17 20:35:30.000000
Brno-Líšeň,,,,12.0,,7.8,3.0,2022-09-17 20:35:30.000000
Brno-Arboretum,,7.5,,3.9,50.3,5.5,2.5,2022-09-17 20:35:30.000000
Brno-Svatoplukova,,12.6,214.0,8.5,,9.3,7.6,2022-09-17 20:35:30.000000
Brno-Masná,,,,4.0,,7.6,3.0,2022-09-17 20:35:30.000000
Brno-Tuřany,5.9,7.1,,1.0,47.1,6.4,2.0,2022-09-17 20:35:30.000000
Brno-Arboretum,,7.5,,3.9,50.3,5.5,2.5,2022-09-17 21:35:31.000000
Brno-Líšeň,,,,12.0,,7.8,3.0,2022-09-17 21:35:31.000000
Brno-Tuřany,5.9,7.1,,1.0,47.1,6.4,2.0,2022-09-17 21:35:31.000000
Brno-Výstaviště,,8.8,,4.7,,7.7,2.6,2022-09-17 21:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 21:35:31.000000
Brno-Svatoplukova,,12.6,214.0,8.5,,9.3,7.6,2022-09-17 21:35:31.000000
Brno-Zvonařka,,5.4,,4.3,,8.8,3.7,2022-09-17 21:35:31.000000
Brno-Masná,,,,4.0,,7.6,3.0,2022-09-17 21:35:31.000000
Brno-Lány,5.3,4.8,248.0,3.8,53.1,7.0,3.2,2022-09-17 21:35:31.000000
Brno-Úvoz (hot spot),,23.5,286.0,5.0,,6.7,4.0,2022-09-17 21:35:31.000000
Brno-Zvonařka,,,,,,0.0,0.0,2022-09-17 22:35:31.000000
Brno-Výstaviště,,13.8,,4.7,,7.5,2.7,2022-09-17 22:35:31.000000
Brno-Úvoz (hot spot),,19.1,297.0,4.0,,6.5,3.0,2022-09-17 22:35:31.000000
Brno-Arboretum,,,,,,5.5,0.0,2022-09-17 22:35:31.000000
Brno-Tuřany,6.1,5.9,,1.0,47.3,5.8,3.0,2022-09-17 22:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 22:35:31.000000
Brno-Lány,5.1,6.1,262.0,5.1,46.7,6.8,4.2,2022-09-17 22:35:31.000000
Brno-Masná,,,,4.0,,7.5,3.0,2022-09-17 22:35:31.000000
Brno-Svatoplukova,,28.9,214.0,5.8,,9.1,4.8,2022-09-17 22:35:31.000000
Brno-Líšeň,,,,8.0,,7.9,2.0,2022-09-17 22:35:31.000000
Brno-Výstaviště,,,,,,7.5,0.0,2022-09-17 23:35:30.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-17 23:35:30.000000
Brno-Masná,,,,,,7.3,0.0,2022-09-17 23:35:30.000000
Brno-Tuřany,,,,,,5.4,0.0,2022-09-17 23:35:30.000000
Brno-Zvonařka,,,,,,0.0,0.0,2022-09-17 23:35:30.000000
Brno-Svatoplukova,,,,,,9.1,0.0,2022-09-17 23:35:30.000000
Brno-Arboretum,,,,,,5.6,0.0,2022-09-17 23:35:30.000000
Brno-Lány,,,266.0,,,6.7,0.0,2022-09-17 23:35:30.000000
Brno-Líšeň,,,,,,7.3,0.0,2022-09-17 23:35:30.000000
Brno-Úvoz (hot spot),,,281.0,,,6.6,0.0,2022-09-17 23:35:30.000000
Brno-Zvonařka,,6.7,,5.7,,0.0,4.7,2022-09-18 00:35:31.000000
Brno-Masná,,,,8.0,,7.4,4.0,2022-09-18 00:35:31.000000
Brno-Arboretum,,6.9,,4.9,40.1,5.5,3.3,2022-09-18 00:35:31.000000
Brno-Výstaviště,,9.4,,6.2,,7.4,3.8,2022-09-18 00:35:31.000000
Brno-Lány,5.1,5.7,277.0,5.7,46.1,6.6,4.4,2022-09-18 00:35:31.000000
Brno-Tuřany,6.1,7.7,,3.0,38.7,5.3,2.0,2022-09-18 00:35:31.000000
Brno-Svatoplukova,,21.4,194.0,7.2,,9.0,5.6,2022-09-18 00:35:31.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 00:35:31.000000
Brno-Líšeň,,,,4.0,,7.2,2.0,2022-09-18 00:35:31.000000
Brno-Úvoz (hot spot),,19.7,269.0,6.0,,6.5,4.0,2022-09-18 00:35:31.000000
Brno-Výstaviště,,8.4,,5.6,,7.3,3.1,2022-09-18 01:35:32.000000
Brno-Zvonařka,,4.6,,5.3,,8.5,4.2,2022-09-18 01:35:32.000000
Brno-Svatoplukova,,8.2,183.0,5.2,,8.9,4.0,2022-09-18 01:35:32.000000
Brno-Masná,,,,6.0,,7.2,4.0,2022-09-18 01:35:32.000000
Brno-Líšeň,,,,3.0,,7.0,3.0,2022-09-18 01:35:32.000000
Brno-Tuřany,6.4,6.1,,7.0,39.9,5.1,3.0,2022-09-18 01:35:32.000000
Brno-Arboretum,,5.9,,4.8,43.7,5.5,2.8,2022-09-18 01:35:32.000000
Brno-Úvoz (hot spot),,14.0,255.0,5.0,,6.5,4.0,2022-09-18 01:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 01:35:32.000000
Brno-Lány,4.5,15.7,291.0,5.6,26.5,6.5,4.3,2022-09-18 01:35:32.000000
Brno-Arboretum,,,,,,5.4,0.0,2022-09-18 02:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 02:35:32.000000
Brno-Zvonařka,,,,,,8.1,0.0,2022-09-18 02:35:32.000000
Brno-Masná,,,,,,6.9,0.0,2022-09-18 02:35:32.000000
Brno-Líšeň,,,,,,6.7,0.0,2022-09-18 02:35:32.000000
Brno-Výstaviště,,,,,,7.0,0.0,2022-09-18 02:35:32.000000
Brno-Tuřany,,,,,,5.3,0.0,2022-09-18 02:35:32.000000
Brno-Lány,,,300.0,,,6.2,0.0,2022-09-18 02:35:32.000000
Brno-Úvoz (hot spot),,,225.0,,,6.5,0.0,2022-09-18 02:35:32.000000
Brno-Svatoplukova,,,183.0,,,8.7,0.0,2022-09-18 02:35:32.000000
Brno-Arboretum,,,,,,5.2,0.0,2022-09-18 03:35:32.000000
Brno-Tuřany,,,,,,5.4,0.0,2022-09-18 03:35:32.000000
Brno-Líšeň,,,,,,6.5,0.0,2022-09-18 03:35:32.000000
Brno-Zvonařka,,,,,,7.8,0.0,2022-09-18 03:35:32.000000
Brno-Svatoplukova,,,183.0,,,8.6,0.0,2022-09-18 03:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 03:35:32.000000
Brno-Masná,,,,,,6.5,0.0,2022-09-18 03:35:32.000000
Brno-Lány,,,316.0,,,6.0,0.0,2022-09-18 03:35:32.000000
Brno-Výstaviště,,,,,,6.8,0.0,2022-09-18 03:35:32.000000
Brno-Úvoz (hot spot),,,215.0,,,6.3,0.0,2022-09-18 03:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 04:35:32.000000
Brno-Masná,,,,6.0,,6.5,4.0,2022-09-18 04:35:32.000000
Brno-Arboretum,,8.6,,5.0,23.5,5.2,3.0,2022-09-18 04:35:32.000000
Brno-Líšeň,,,,4.0,,6.4,4.0,2022-09-18 04:35:32.000000
Brno-Úvoz (hot spot),,,215.0,5.0,,6.3,2.0,2022-09-18 04:35:32.000000
Brno-Výstaviště,,5.9,,5.6,,6.8,2.2,2022-09-18 04:35:32.000000
Brno-Lány,4.8,10.9,320.0,4.5,26.1,5.9,3.4,2022-09-18 04:35:32.000000
Brno-Zvonařka,,17.2,,5.5,,7.6,4.0,2022-09-18 04:35:32.000000
Brno-Tuřany,6.4,9.2,,7.0,31.9,5.5,2.0,2022-09-18 04:35:32.000000
Brno-Svatoplukova,,13.0,189.0,9.7,,8.7,6.8,2022-09-18 04:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 05:35:32.000000
Brno-Zvonařka,,2.5,,3.1,,6.7,1.9,2022-09-18 05:35:32.000000
Brno-Masná,,,,4.0,,5.8,2.0,2022-09-18 05:35:32.000000
Brno-Líšeň,,,,5.0,,6.0,2.0,2022-09-18 05:35:32.000000
Brno-Úvoz (hot spot),,7.5,190.0,4.0,,6.0,1.0,2022-09-18 05:35:32.000000
Brno-Tuřany,5.6,6.3,,9.0,41.9,5.9,3.0,2022-09-18 05:35:32.000000
Brno-Arboretum,,2.7,,2.8,50.7,4.8,1.5,2022-09-18 05:35:32.000000
Brno-Svatoplukova,,7.3,218.0,3.1,,7.9,2.3,2022-09-18 05:35:32.000000
Brno-Výstaviště,,4.8,,3.6,,6.4,1.6,2022-09-18 05:35:32.000000
Brno-Lány,4.3,8.8,335.0,2.8,43.1,5.3,2.2,2022-09-18 05:35:32.000000
Brno-Arboretum,,2.5,,2.8,50.5,4.6,1.3,2022-09-18 06:35:32.000000
Brno-Líšeň,,,,9.0,,6.0,4.0,2022-09-18 06:35:32.000000
Brno-Lány,4.5,9.4,335.0,2.6,42.5,5.2,2.1,2022-09-18 06:35:32.000000
Brno-Masná,,,,3.0,,5.4,1.0,2022-09-18 06:35:32.000000
Brno-Zvonařka,,3.8,,16.7,,7.1,4.2,2022-09-18 06:35:32.000000
Brno-Svatoplukova,,7.5,233.0,2.8,,7.7,2.0,2022-09-18 06:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 06:35:32.000000
Brno-Tuřany,5.9,4.0,,8.0,47.3,5.8,2.0,2022-09-18 06:35:32.000000
Brno-Výstaviště,,4.8,,3.7,,6.3,1.5,2022-09-18 06:35:32.000000
Brno-Úvoz (hot spot),,9.6,189.0,3.0,,5.7,1.0,2022-09-18 06:35:32.000000
Brno-Výstaviště,,5.2,,2.8,,5.9,1.3,2022-09-18 08:35:32.000000
Brno-Lány,4.5,8.2,335.0,1.8,43.1,4.9,1.5,2022-09-18 08:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 08:35:32.000000
Brno-Zvonařka,,2.9,,2.5,,6.4,1.4,2022-09-18 08:35:32.000000
Brno-Tuřany,5.9,3.8,,8.0,46.7,5.4,1.0,2022-09-18 08:35:32.000000
Brno-Arboretum,,2.7,,2.5,50.5,4.3,1.2,2022-09-18 08:35:32.000000
Brno-Líšeň,,,,7.0,,5.9,2.0,2022-09-18 08:35:32.000000
Brno-Svatoplukova,,6.1,248.0,2.1,,7.3,1.6,2022-09-18 08:35:32.000000
Brno-Masná,,,,3.0,,5.1,1.0,2022-09-18 08:35:32.000000
Brno-Úvoz (hot spot),,8.0,193.0,3.0,,5.5,1.0,2022-09-18 08:35:32.000000
Brno-Svatoplukova,,9.4,266.0,4.0,,7.0,3.0,2022-09-18 09:35:32.000000
Brno-Masná,,,,5.0,,4.8,2.0,2022-09-18 09:35:32.000000
Brno-Lány,3.7,4.0,320.0,4.4,49.1,4.5,3.1,2022-09-18 09:35:32.000000
Brno-Líšeň,,,,4.0,,5.6,6.0,2022-09-18 09:35:32.000000
Brno-Arboretum,,3.8,,3.5,49.5,4.0,2.0,2022-09-18 09:35:32.000000
Brno-Úvoz (hot spot),,10.5,200.0,4.0,,5.0,2.0,2022-09-18 09:35:32.000000
Brno-Zvonařka,,,,,,6.4,0.0,2022-09-18 09:35:32.000000
Brno-Výstaviště,,8.8,,6.6,,5.5,2.8,2022-09-18 09:35:32.000000
Brno-Tuřany,5.9,5.7,,8.0,45.9,5.5,1.0,2022-09-18 09:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 09:35:32.000000
Brno-Lány,,,316.0,,,4.5,0.0,2022-09-18 10:35:32.000000
Brno-Svatoplukova,,,252.0,,,7.1,0.0,2022-09-18 10:35:32.000000
Brno-Zvonařka,,,,,,6.0,0.0,2022-09-18 10:35:32.000000
Brno-Arboretum,,,,,,4.0,0.0,2022-09-18 10:35:32.000000
Brno-Líšeň,,,,,,5.4,0.0,2022-09-18 10:35:32.000000
Brno-Výstaviště,,,,,,5.5,0.0,2022-09-18 10:35:32.000000
Brno-Masná,,,,,,4.7,0.0,2022-09-18 10:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 10:35:32.000000
Brno-Úvoz (hot spot),,,205.0,,,5.0,0.0,2022-09-18 10:35:32.000000
Brno-Tuřany,,,,,,5.4,0.0,2022-09-18 10:35:32.000000
Brno-Úvoz (hot spot),,11.9,204.0,6.0,,5.0,3.0,2022-09-18 11:35:32.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 11:35:32.000000
Brno-Arboretum,,3.1,,6.2,56.9,4.1,2.7,2022-09-18 11:35:32.000000
Brno-Líšeň,,,,3.0,,5.3,15.0,2022-09-18 11:35:32.000000
Brno-Výstaviště,,7.7,,6.8,,5.6,3.0,2022-09-18 11:35:33.000000
Brno-Lány,4.8,3.6,291.0,7.3,55.7,4.6,3.6,2022-09-18 11:35:33.000000
Brno-Zvonařka,,2.5,,9.3,,6.2,3.6,2022-09-18 11:35:33.000000
Brno-Svatoplukova,,6.3,250.0,6.2,,7.0,3.5,2022-09-18 11:35:32.000000
Brno-Masná,,,,6.0,,4.8,3.0,2022-09-18 11:35:33.000000
Brno-Tuřany,5.6,4.0,,10.0,51.7,5.6,5.0,2022-09-18 11:35:33.000000
Brno-Úvoz (hot spot),,13.4,203.0,7.0,,5.0,3.0,2022-09-18 12:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 12:35:33.000000
Brno-Arboretum,,,,,,4.1,0.0,2022-09-18 12:35:33.000000
Brno-Masná,,,,6.0,,4.8,2.0,2022-09-18 12:35:33.000000
Brno-Výstaviště,,,,,,5.5,0.0,2022-09-18 12:35:33.000000
Brno-Lány,4.8,2.9,277.0,5.2,62.4,4.6,2.7,2022-09-18 12:35:33.000000
Brno-Líšeň,,,,4.0,,5.1,9.0,2022-09-18 12:35:33.000000
Brno-Zvonařka,,2.9,,9.5,,6.3,3.2,2022-09-18 12:35:33.000000
Brno-Tuřany,5.6,3.1,,13.0,58.7,5.8,5.0,2022-09-18 12:35:33.000000
Brno-Svatoplukova,,5.4,233.0,5.7,,7.0,2.9,2022-09-18 12:35:33.000000
Brno-Tuřany,6.1,2.9,,9.0,59.1,6.0,4.0,2022-09-18 13:35:33.000000
Brno-Arboretum,,,,,,4.1,0.0,2022-09-18 13:35:33.000000
Brno-Líšeň,,,,8.0,,5.3,5.0,2022-09-18 13:35:33.000000
Brno-Výstaviště,,9.9,,6.0,,5.5,2.2,2022-09-18 13:35:33.000000
Brno-Masná,,,,6.0,,4.8,2.0,2022-09-18 13:35:33.000000
Brno-Zvonařka,,3.6,,15.1,,6.8,3.5,2022-09-18 13:35:33.000000
Brno-Lány,5.1,3.3,262.0,4.5,63.2,4.6,2.4,2022-09-18 13:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 13:35:33.000000
Brno-Úvoz (hot spot),,14.2,198.0,5.0,,5.0,2.0,2022-09-18 13:35:33.000000
Brno-Svatoplukova,,6.3,200.0,4.9,,6.9,2.2,2022-09-18 13:35:33.000000
Brno-Výstaviště,,7.5,,4.7,,5.5,1.9,2022-09-18 14:35:33.000000
Brno-Lány,,,250.0,,,4.6,0.0,2022-09-18 14:35:33.000000
Brno-Svatoplukova,,,194.0,,,6.9,0.0,2022-09-18 14:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 14:35:33.000000
Brno-Tuřany,5.9,3.1,,8.0,60.4,6.2,4.0,2022-09-18 14:35:33.000000
Brno-Úvoz (hot spot),,16.5,205.0,3.0,,4.9,1.0,2022-09-18 14:35:33.000000
Brno-Zvonařka,,2.3,,8.0,,6.8,2.6,2022-09-18 14:35:33.000000
Brno-Líšeň,,,,6.0,,5.3,3.0,2022-09-18 14:35:33.000000
Brno-Arboretum,,3.4,,3.3,64.0,4.1,1.6,2022-09-18 14:35:33.000000
Brno-Masná,,,,3.0,,4.8,2.0,2022-09-18 14:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 15:35:33.000000
Brno-Masná,,,,4.0,,4.8,2.0,2022-09-18 15:35:33.000000
Brno-Výstaviště,,10.5,,4.8,,5.5,1.9,2022-09-18 15:35:33.000000
Brno-Úvoz (hot spot),,17.0,212.0,6.0,,4.9,2.0,2022-09-18 15:35:33.000000
Brno-Svatoplukova,,10.3,175.0,4.7,,6.8,2.5,2022-09-18 15:35:33.000000
Brno-Líšeň,,,,6.0,,5.4,1.0,2022-09-18 15:35:33.000000
Brno-Tuřany,,,,9.0,60.2,6.4,3.0,2022-09-18 15:35:33.000000
Brno-Arboretum,,2.5,,3.7,66.2,4.1,1.7,2022-09-18 15:35:33.000000
Brno-Lány,4.8,2.7,216.0,4.0,65.0,4.6,2.2,2022-09-18 15:35:33.000000
Brno-Zvonařka,,,,,,6.7,0.0,2022-09-18 15:35:33.000000
Brno-Výstaviště,,,,,,5.0,0.0,2022-09-18 17:35:33.000000
Brno-Tuřany,,,,,,6.7,0.0,2022-09-18 17:35:33.000000
Brno-Arboretum,,,,,,4.0,0.0,2022-09-18 17:35:33.000000
Brno-Lány,,,175.0,,,4.4,0.0,2022-09-18 17:35:33.000000
Brno-Líšeň,,,,,,5.5,0.0,2022-09-18 17:35:33.000000
Brno-Zvonařka,,,,,,6.5,0.0,2022-09-18 17:35:33.000000
Brno-Masná,,,,,,4.7,0.0,2022-09-18 17:35:33.000000
Brno-Svatoplukova,,,,,,6.4,0.0,2022-09-18 17:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 17:35:33.000000
Brno-Úvoz (hot spot),,,231.0,,,4.7,0.0,2022-09-18 17:35:33.000000
Brno-Líšeň,,,,1.0,,5.3,1.0,2022-09-18 18:35:33.000000
Brno-Svatoplukova,,18.9,136.0,3.0,,6.3,2.1,2022-09-18 18:35:33.000000
Brno-Zvonařka,,5.2,,2.8,,6.3,1.9,2022-09-18 18:35:33.000000
Brno-Úvoz (hot spot),,28.9,241.0,5.0,,4.8,2.0,2022-09-18 18:35:33.000000
Brno-Tuřany,6.1,5.4,,4.0,51.9,6.6,1.0,2022-09-18 18:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 18:35:33.000000
Brno-Lány,,,175.0,,,4.4,0.0,2022-09-18 18:35:33.000000
Brno-Masná,,,,3.0,,4.7,1.0,2022-09-18 18:35:33.000000
Brno-Arboretum,,5.2,,2.5,55.1,3.9,1.3,2022-09-18 18:35:33.000000
Brno-Výstaviště,,24.9,,5.8,,5.0,2.0,2022-09-18 18:35:33.000000
Brno-Tuřany,6.1,6.3,,4.0,47.9,6.7,1.0,2022-09-18 19:35:33.000000
Brno-Lány,4.5,9.9,214.0,4.2,43.7,4.4,2.3,2022-09-18 19:35:33.000000
Brno-Výstaviště,,21.4,,4.3,,5.0,1.5,2022-09-18 19:35:33.000000
Brno-Líšeň,,,,2.0,,5.3,1.0,2022-09-18 19:35:33.000000
Brno-Zvonařka,,8.6,,2.1,,6.2,1.3,2022-09-18 19:35:33.000000
Brno-Úvoz (hot spot),,38.6,262.0,6.0,,4.8,2.0,2022-09-18 19:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 19:35:33.000000
Brno-Masná,,,,3.0,,4.6,1.0,2022-09-18 19:35:33.000000
Brno-Arboretum,,5.0,,2.6,50.7,3.8,1.2,2022-09-18 19:35:33.000000
Brno-Svatoplukova,,18.0,116.0,3.3,,6.1,2.1,2022-09-18 19:35:33.000000
Brno-Svatoplukova,,14.7,116.0,2.7,,5.5,2.0,2022-09-18 20:35:33.000000
Brno-Arboretum,,4.6,,1.6,48.7,3.7,1.1,2022-09-18 20:35:33.000000
Brno-Výstaviště,,16.3,,3.9,,4.9,1.7,2022-09-18 20:35:33.000000
Brno-Lány,4.5,12.4,214.0,3.9,37.7,4.4,2.7,2022-09-18 20:35:33.000000
Brno-Tuřany,5.6,8.0,,3.0,42.1,6.7,1.0,2022-09-18 20:35:33.000000
Brno-Úvoz (hot spot),,33.3,275.0,5.0,,4.8,2.0,2022-09-18 20:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 20:35:33.000000
Brno-Masná,,,,3.0,,4.5,1.0,2022-09-18 20:35:33.000000
Brno-Zvonařka,,14.3,,2.5,,6.1,1.8,2022-09-18 20:35:33.000000
Brno-Líšeň,,,,1.0,,5.1,1.0,2022-09-18 20:35:33.000000
Brno-Úvoz (hot spot),,26.6,291.0,4.0,,4.7,2.0,2022-09-18 21:35:33.000000
Brno-Arboretum,,4.4,,2.0,44.1,3.6,1.4,2022-09-18 21:35:33.000000
Brno-Lány,5.1,9.6,194.0,3.3,32.5,4.4,2.8,2022-09-18 21:35:33.000000
Brno-Zvonařka,,8.8,,2.5,,6.0,2.0,2022-09-18 21:35:33.000000
Brno-Výstaviště,,8.6,,2.6,,4.8,1.7,2022-09-18 21:35:33.000000
Brno-Svatoplukova,,16.6,136.0,3.5,,5.2,2.7,2022-09-18 21:35:33.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 21:35:33.000000
Brno-Tuřany,5.1,6.1,,3.0,39.3,6.8,2.0,2022-09-18 21:35:33.000000
Brno-Líšeň,,,,2.0,,4.7,2.0,2022-09-18 21:35:33.000000
Brno-Masná,,,,3.0,,4.5,2.0,2022-09-18 21:35:33.000000
Brno-Arboretum,,5.7,,2.4,33.3,3.6,1.6,2022-09-18 22:35:34.000000
Brno-Lány,4.8,6.5,183.0,3.0,33.5,4.3,2.5,2022-09-18 22:35:34.000000
Brno - Dětská nemocnice,,,,,,0.0,0.0,2022-09-18 22:35:34.000000
Brno-Líšeň,,,,4.0,,4.5,3.0,2022-09-18 22:35:34.000000
Brno-Zvonařka,,10.7,,2.6,,5.8,2.2,2022-09-18 22:35:34.000000
Brno-Tuřany,5.3,5.4,,3.0,36.3,6.9,2.0,2022-09-18 22:35:34.000000
Brno-Svatoplukova,,17.2,150.0,3.8,,5.1,3.1,2022-09-18 22:35:34.000000
Brno-Výstaviště,,9.4,,3.0,,4.7,1.8,2022-09-18 22:35:34.000000
Brno-Úvoz (hot spot),,20.7,293.0,3.0,,4.7,2.0,2022-09-18 22:35:34.000000
Brno-Masná,,,,6.0,,4.6,4.0,2022-09-18 22:35:34.000000
Brno-Masná,,,,3.0,,4.5,2.0,2022-09-18 23:35:33.000000
Brno-Arboretum,,3.4,,2.3,39.1,3.4,1.5,2022-09-18 23:35:33.000000
Brno-Svatoplukova,,9.4,150.0,2.5,,5.0,2.1,2022-09-18 23:35:33.000000
Brno-Výstaviště,,,,,,4.6,0.0,2022-09-18 23:35:33.000000
Brno-Tuřany,5.9,5.4,,3.0,42.3,7.0,3.0,2022-09-18 23:35:33.000000
